Time Index,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,113.2347887568209615,113.2329399693101095,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,1,113.2347887568209472,113.2329399693101095,113.2310913038200653,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,1.5,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368168,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
11,5,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368168,113.2273943388463664,113.2255460393348017,113.2236978617880681,113.2218498061922247,113.220001872533274,113.2181540607973034,113.2163063709703152,-nan,-nan,-nan,-nan,-nan
12,5.5,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368026,113.2273943388463664,113.2255460393347732,113.2236978617880681,113.2218498061921963,113.2200018725333024,113.2181540607973318,113.216306370970301,113.2144588030383971,-nan,-nan,-nan,-nan
13,6,113.2347887568209472,113.2329399693101379,113.2310913038200653,113.2292427603368168,113.227394338846409,113.2255460393348017,113.2236978617880681,113.2218498061921963,113.2200018725333024,113.2181540607973318,113.2163063709703437,113.2144588030383403,113.2126113569874377,-nan,-nan,-nan
14,6.5,113.2347887568209472,113.2329399693101379,113.2310913038200653,113.2292427603368026,113.2273943388463806,113.2255460393348017,113.2236978617880396,113.2218498061921963,113.220001872533274,113.2181540607973318,113.2163063709703437,113.2144588030383403,113.2126113569874377,113.2107640328036524,-nan,-nan
15,7,113.2347887568209615,113.2329399693101095,113.2310913038200653,113.2292427603368026,113.2273943388463664,113.2255460393347732,113.2236978617880396,113.2218498061922247,113.220001872533274,113.2181540607973318,113.216306370970301,113.2144588030383687,113.2126113569874377,113.2107640328036524,113.2089168304729867,-nan
16,7.5,113.2347887568209472,113.2329399693101095,113.2310913038200368,113.2292427603368168,113.2273943388463806,113.2255460393348017,113.2236978617880681,113.2218498061921963,113.220001872533274,113.2181540607973034,113.2163063709703152,113.2144588030383687,113.2126113569874803,113.2107640328036382,113.2089168304729867,113.2070697499815424
17,8,113.2347887568209472,113.2329399693101379,113.2310913038200368,113.2292427603368026,113.2273943388463664,113.2255460393347732,113.2236978617880112,113.2218498061922247,113.2200018725333024,113.2181540607973034,113.2163063709703152,113.2144588030383403,113.2126113569874803,113.2107640328036524,113.2089168304729867,113.207069749981514
18,8.5,113.2347887568209615,113.2329399693101095,113.2310913038200368,113.2292427603368026,113.2273943388463664,113.2255460393347732,113.2236978617880112,113.2218498061921537,113.2200018725333024,113.2181540607973034,113.216306370970301,113.2144588030383687,113.2126113569874519,113.2107640328036524,113.2089168304729867,113.2070697499814855
19,9,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368168,113.2273943388463806,113.2255460393347732,113.2236978617880681,113.2218498061921963,113.2200018725333024,113.2181540607973034,113.2163063709703152,113.2144588030383403,113.2126113569874803,113.2107640328036524,113.2089168304729867,113.2070697499815424
20,9.5,113.2347887568209472,113.2329399693101379,113.2310913038200653,113.2292427603368026,113.2273943388463806,113.2255460393347732,113.2236978617880112,113.2218498061921963,113.2200018725333024,113.2181540607973318,113.2163063709703152,113.2144588030383687,113.2126113569874519,113.2107640328036808,113.2089168304729867,113.2070697499815424
21,10,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368026,113.2273943388463664,113.2255460393347732,113.2236978617880396,113.2218498061921963,113.2200018725333024,113.2181540607973318,113.2163063709703152,113.2144588030383687,113.2126113569874519,113.2107640328036524,113.2089168304730151,113.2070697499815424
22,10.5,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368168,113.2273943388463664,113.2255460393347448,113.2236978617880681,113.2218498061921963,113.2200018725333024,113.2181540607973034,113.216306370970301,113.2144588030383403,113.2126113569874519,113.2107640328036524,113.2089168304729867,113.2070697499815424
23,11,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368026,113.2273943388463664,113.2255460393347448,113.2236978617880396,113.2218498061921963,113.2200018725333024,113.218154060797275,113.216306370970301,113.2144588030383687,113.2126113569874519,113.2107640328036524,113.2089168304730151,113.2070697499815424
24,11.5,113.2347887568209615,113.2329399693101379,113.2310913038200653,113.2292427603368026,113.2273943388463664,113.2255460393348017,113.2236978617880396,113.2218498061921963,113.220001872533274,113.2181540607973034,113.2163063709703152,113.2144588030383687,113.2126113569874519,113.2107640328036524,113.2089168304729867,113.2070697499815424
25,12,113.2347887568209615,113.2329399693101095,113.2310913038200653,113.2292427603368026,113.2273943388463664,113.2255460393347732,113.2236978617880396,113.2218498061921821,113.2200018725333024,113.2181540607973318,113.2163063709703152,113.2144588030383687,113.2126113569874519,113.2107640328036524,113.2089168304729867,113.207069749981514
