dim_1,dim_2,dim_3,value
1,8,14,1131731577.4614980220794678
1,8,15,77625489.6970729529857635
1,8,16,0
1,9,1,5997919.6374957896769047
1,9,2,24718491.0312278121709824
1,9,3,67894138.1895712912082672
1,9,4,104693444.4505341053009033
1,9,5,87887109.1623608320951462
1,9,6,181910835.6313858926296234
1,9,7,86325025.2283717691898346
1,9,8,154465464.1594812572002411
1,9,9,11504140.4927292466163635
1,9,10,296866759.7081575989723206
1,9,11,977660506.707424521446228
1,9,12,1000962315.2580455541610718
1,9,13,1215371889.6474137306213379
1,9,14,1462731264.482205867767334
1,9,15,101496268.5477028787136078
1,9,16,0
1,10,1,2927367.3129315334372222
1,10,2,18199670.8483608812093735
1,10,3,31008856.3769843839108944
1,10,4,41938108.0336287096142769
1,10,5,108724008.6590527147054672
1,10,6,116974187.5916157513856888
1,10,7,339559099.9915077686309814
1,10,8,2368305634.5277113914489746
1,10,9,221368407.836394727230072
1,10,10,12901842.2174784373492002
1,10,11,2032586191.7674200534820557
1,10,12,1336378271.6054897308349609
1,10,13,1569251322.2016513347625732
1,10,14,244512263.5549643635749817
1,10,15,179671976.931789368391037
1,10,16,0
1,11,1,4649550.4248783336952329
1,11,2,21005521.3942927271127701
1,11,3,40259576.9976938664913177
1,11,4,62591567.2086204886436462
1,11,5,178644283.9490435719490051
1,11,6,259408604.3279676139354706
1,11,7,130146340.5972667783498764
1,11,8,251205920.7848522961139679
1,11,9,107460422.2083200216293335
1,11,10,130003568.9249276667833328
1,11,11,8175066.8479508887976408
1,11,12,2101139303.9125761985778809
1,11,13,1953278119.0136959552764893
1,11,14,2605261012.2749786376953125
1,11,15,237204917.6752384305000305
1,11,16,0
1,12,1,4328368.1093267388641834
1,12,2,37336578.4704323038458824
1,12,3,37653401.3359292298555374
1,12,4,81517064.484651505947113
1,12,5,114768273.3463710844516754
1,12,6,149120094.8158403337001801
1,12,7,396445028.5390189290046692
1,12,8,572985856.9136779308319092
1,12,9,911158938.4201229810714722
1,12,10,1845903011.5857481956481934
1,12,11,2524717912.3295187950134277
1,12,12,16136895.9009279049932957
1,12,13,2242320378.0145974159240723
1,12,14,2845404284.7404918670654297
1,12,15,255450356.0218715667724609
1,12,16,0
1,13,1,9427364.8426795154809952
1,13,2,13741549.5949136298149824
1,13,3,24633622.8589731827378273
1,13,4,139935167.6898431777954102
1,13,5,66706593.9466519504785538
1,13,6,136865536.4114944934844971
1,13,7,435765984.1951335668563843
1,13,8,176813190.4525874555110931
1,13,9,895187337.1498274803161621
1,13,10,181557384.7641355693340302
1,13,11,1774018762.2561314105987549
1,13,12,2164258605.6605081558227539
1,13,13,11484849.2293854150921106
1,13,14,3467552394.1634316444396973
1,13,15,384011308.643979549407959
1,13,16,0
1,14,1,5465733.086751258932054
1,14,2,16304412.7589857671409845
1,14,3,29759404.2768807448446751
1,14,4,72432093.0957937240600586
1,14,5,233908540.9132513105869293
1,14,6,124228879.5988984107971191
1,14,7,148397946.7095248103141785
1,14,8,711549747.4740258455276489
1,14,9,178837799.8754368424415588
1,14,10,1423337559.2410666942596436
1,14,11,1792827886.745152473449707
1,14,12,2116832184.1372849941253662
1,14,13,2893188112.7656078338623047
1,14,14,16876164.9646159820258617
1,14,15,1300387208.4990513324737549
1,14,16,0
1,15,1,5084168.3824734818190336
1,15,2,23196051.4009312056005001
1,15,3,91647338.209308534860611
1,15,4,156181088.7184049189090729
1,15,5,90546718.1556362956762314
1,15,6,112277911.7200431227684021
1,15,7,48088000.2284853309392929
